feature,mean_abs_shap
duration_sec,0.02785404999057021
emb_143,0.009417399373056603
log_subscriber_count,0.009223765515663484
emb_221,0.008542823537528133
emb_562,0.007879940841148568
t_hashtag_n,0.007106305326182002
pub_month,0.0063683490983248115
emb_243,0.005635112491279622
emb_283,0.005428499039003697
emb_360,0.004829657115980838
emb_557,0.003429747992090876
emb_331,0.003246211915735539
emb_551,0.0027877288761105944
emb_252,0.002682345356896466
emb_250,0.0025982095564653306
emb_347,0.0022920194812830553
emb_172,0.002227553128871992
emb_182,0.0021511273478043965
emb_369,0.0019041617260218456
emb_85,0.0018828450982993935
emb_724,0.0018745853973532187
emb_683,0.001818545596821787
emb_308,0.0018085404535571501
emb_177,0.0017713386897982213
emb_520,0.0017312496556672343
emb_367,0.0017264889880977163
emb_652,0.001525545570910468
emb_204,0.0014834732625697306
emb_382,0.0014434882839821001
emb_71,0.0014315854422849916
emb_278,0.0014268317325485276
emb_725,0.0013809054830695798
emb_549,0.0013363459278633737
emb_578,0.0013340852028344027
emb_699,0.001299435081596013
emb_676,0.0012806785902337728
emb_110,0.0012025896856677177
emb_731,0.0011738017686112436
emb_737,0.0011329469856713275
emb_373,0.001090237925949672
emb_396,0.001075105890743302
emb_685,0.0010416666237404047
emb_92,0.0009028700548577254
emb_700,0.0008780008469909373
emb_170,0.0008666837429709667
emb_206,0.0008394208762025753
emb_126,0.0008195829872976748
emb_556,0.0007799911382281583
emb_280,0.0007644656536474234
emb_2,0.0006825365758589262
emb_238,0.0006585466804577848
emb_560,0.0005982913107017146
emb_212,0.0005891472120419911
emb_100,0.0005680502312973712
emb_388,0.0005211674087671718
emb_661,0.0005062319169683911
emb_590,0.0
emb_540,0.0
emb_539,0.0
emb_516,0.0
emb_517,0.0
emb_538,0.0
emb_522,0.0
emb_537,0.0
emb_518,0.0
emb_519,0.0
emb_521,0.0
emb_536,0.0
emb_523,0.0
emb_535,0.0
emb_534,0.0
emb_524,0.0
emb_533,0.0
emb_525,0.0
emb_591,0.0
emb_532,0.0
emb_526,0.0
emb_527,0.0
emb_531,0.0
emb_528,0.0
emb_530,0.0
emb_589,0.0
emb_529,0.0
emb_579,0.0
emb_547,0.0
emb_541,0.0
emb_542,0.0
emb_563,0.0
emb_564,0.0
emb_565,0.0
emb_566,0.0
emb_567,0.0
emb_568,0.0
emb_581,0.0
emb_569,0.0
emb_580,0.0
emb_570,0.0
emb_571,0.0
emb_572,0.0
emb_573,0.0
emb_574,0.0
emb_575,0.0
emb_576,0.0
emb_577,0.0
emb_582,0.0
emb_561,0.0
emb_559,0.0
emb_550,0.0
emb_543,0.0
emb_588,0.0
emb_587,0.0
emb_544,0.0
emb_545,0.0
emb_546,0.0
emb_548,0.0
emb_586,0.0
emb_583,0.0
emb_585,0.0
emb_552,0.0
emb_553,0.0
emb_554,0.0
emb_555,0.0
emb_584,0.0
emb_558,0.0
emb_0,0.0
emb_504,0.0
emb_515,0.0
emb_442,0.0
emb_444,0.0
emb_445,0.0
emb_446,0.0
emb_447,0.0
emb_448,0.0
emb_449,0.0
emb_450,0.0
emb_451,0.0
emb_452,0.0
emb_453,0.0
emb_454,0.0
emb_455,0.0
emb_456,0.0
emb_457,0.0
emb_458,0.0
emb_459,0.0
emb_460,0.0
emb_461,0.0
emb_462,0.0
emb_463,0.0
emb_464,0.0
emb_443,0.0
emb_441,0.0
emb_514,0.0
emb_440,0.0
emb_419,0.0
emb_420,0.0
emb_421,0.0
emb_422,0.0
emb_423,0.0
emb_424,0.0
emb_425,0.0
emb_426,0.0
emb_427,0.0
emb_428,0.0
emb_429,0.0
emb_430,0.0
emb_431,0.0
emb_432,0.0
emb_433,0.0
emb_434,0.0
emb_435,0.0
emb_436,0.0
emb_437,0.0
emb_438,0.0
emb_439,0.0
emb_465,0.0
emb_466,0.0
emb_467,0.0
emb_468,0.0
