video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
3Ku40zBIX9M,test,1,0.018414268205960975,ก็อตซิลล่า  เมืองไทย -   เพ้นท์ คอนเน่ TIG [ Official MV ],TIG Record,Music,4776201.0,0
xRGIpiNLxyw,test,1,0.02162028468437541,Roblox : CENTAURA 🎖️ เกมยิง แนวสงครามโลกที่สมจริงที่สุดตอนนี้ !!!,Kutcha Wants2playz,Gaming,140674.0,0
f131jiMFZPc,test,1,0.021720912374523657,Roblox : BloxLife 👴 วัฏจักรชีวิตของนายมาตลอด !!!,Kutcha Wants2playz,Gaming,104587.0,0
PT2-km-1Dzo,test,1,0.021828595475348107,ROV กลับมาทำฟอร์มไป 100 ดาว จริงจัง,MYRMIE,Gaming,11166.0,0
VLZqWCBoyW0,test,1,0.023258213353092583,Rov+efootball ผม พาดราฟตัวให้ชนะตั้งแต่ยังไม่เล่น สำหรับโซโล่,MYRMIE,Gaming,10739.0,0
e_RU7RYdMDo,test,1,0.023721398348199748,เเมวข่อย...บ้าเลือด !!! (EP10) เมื่อเเมวข่อยอยู่ในเกมอื่น  | Newtons Playground VR,A JECT PRo,Gaming,388645.0,0
cU85Ux3ngU0,test,1,0.030110277193388425,ROV พร้อมพาคนดูไปแรงค์ซูก่อนปีใหม่ พาดราฟตัว,MYRMIE,Gaming,8600.0,0
EoesKeMVnqU,test,1,0.03244124384512971,ROV กดแรงค์ดาวไม่ลด แค่ดราฟตัวแบบนี้ครับ,MYRMIE,Gaming,7116.0,0
zfTddyDDuMI,test,1,0.03584405233531567,ROV ดราฟตัวเป็น ก็ขึ้นแรงค์เองได้ มาครับทุกคน,MYRMIE,Gaming,7492.0,0
WAMJXTHG2mw,test,1,0.03739871459498184,อยากเล่นกับอ้ายวิน | FREE FIRE Live Stream #2 🔴,LowGrade,Gaming,262541.0,0
9eEkdFkvjMA,test,1,0.05019945319989406,RED & GREEN กับ eArena หนุ่มทั้ง 4 ชอบหรือไม่ชอบอะไรกันน่าาา ! #invitational #PPTMasters,PUBG: BATTLEGROUNDS THAILAND,Gaming,7284.0,0
NkWfje1Q3_s,test,1,0.05567469175044682,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 | แวะส่งกำลังใจให้เหล่าทีมในดวงใจ ที่ centralwOrld PULSE ชั้น 7  | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,5575.0,0
VobyYFegQRk,test,1,0.05730394563620502,ก็จากรอยยิ้มที่คุ้นเคย มาในวันนี้ช่างเฉยเมย #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,16286.0,0
iWMBGY0ec8c,test,1,0.05888440775267019,ROV จะพาคนดูชนะ 10 ตา ต้อนรับปีใหม่ จับแต่ตัวโหดๆ,MYRMIE,Gaming,11136.0,0
u1mQiV6ubUw,test,1,0.06042636698223433,ก็จากรอยยิ้มที่คุ้นเคย มาในวันนี้ช่างเฉยเมย #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,9894.0,0
Ou3XKZGE5sQ,test,1,0.0641327514587679,Rov+efootball Zuka เซ็ตใหม่ แพ้ทางตัวไหน ต่อด้วย efootball,MYRMIE,Gaming,8065.0,0
10FV8YSIfUA,test,1,0.06433386969589901,Rov มาบอกทริคกดโซโล่แรงค์ให้คนดู เก่งขึ้นแน่นอน,MYRMIE,Gaming,7972.0,0
PwaCz1Y6sSc,test,1,0.06487369886484726,ROV เล่นแต่ตัวเก่งๆแบกคนดูชนะไปต่อ เอาจริง,MYRMIE,Gaming,9163.0,0
8xcJI5f_AbU,test,1,0.0655792412436156,ฉันยืนอยู่ตรงที่เก่า🥀 #Mirrr #กำแพงหัวใจ #MirrrDAYDREAMINGTHE1STCONCERT #Whattheduckmusic,Whattheduck,Music,21876.0,0
ONe4eSBftT0,test,1,0.06939284470176649,ROV ชนะไปต่อ แพ้เปลี่ยนหมด หรือโซโล่ได้หมดค้าบ,MYRMIE,Gaming,11121.0,0
n8LFrR23s60,test,1,0.07940799808371056,ROV ชนะไปต่อ ทุกแรงค์ แพ้แยกย้าย ว่าง 4 ครับ,MYRMIE,Gaming,12096.0,0
zFCvdwRhNRY,test,1,0.08111473717150666,รถไฟเหาะนินจากาแฟ 🚂 Roblox My Brainrot Roller Coaster,CKKID,Gaming,66216.0,0
QTVDCmJY4dc,test,1,0.08628282117886592,Survival Masters EP.4 | วันสุดท้ายที่เกาหลี มาพร้อมกับคำอวยพรจาก CigaretteS,PUBG: BATTLEGROUNDS THAILAND,Gaming,7097.0,0
qIGR07qRER4,test,1,0.08737791736124181,ROV ชนะไปต่อ แพ้แยก หรือโซโล่ได้หมด ว่าง 4 พาดราฟ,MYRMIE,Gaming,9926.0,0
6iaB4g7lAJA,test,1,0.08945311056703864,Survival Masters EP.3 | วันนี้รับบทนายแบบ เบื้องหลังการถ่ายคอนเทนต์ของ CigaretteS,PUBG: BATTLEGROUNDS THAILAND,Gaming,8818.0,0
zF9Bnh4vXh0,test,1,0.0896708334945454,ต่างชาติชมคนไทย [พากย์ไทย] {ต้นฉบับTikTok@joelsoffgrid } #Thailand #ต่างชาติพูดถึงคนไทย #คนไทยใจดี,bas za studio,Gaming,3197766.0,0
7DFn_1lNs1Q,test,1,0.09317641663119369,ROV สตรีมนี้แนะนำการดราฟตัวล้วนๆ สาระเน้นๆ,MYRMIE,Gaming,10021.0,0
dK_dK4FE9-g,test,1,0.09739070237949322,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 | รวมจังหวะโบ๊ะบ๊ะ😂จากรอบ Group Stage ที่ผ่านมา | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,236535.0,0
46r8sxxTOpE,test,1,0.09826964082055506,PGC 2025 | รวมช็อตเดือดวันที่ 3 รอบ Grand Finals | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,27477.0,0
bAY59SAJv9Y,test,1,0.10241524114544857,เพราะเหมือนยิ่งคบ เรากลับยิ่งไม่รักกัน #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,22112.0,0
VgHN72oDG6g,test,1,0.10631897053183399,ROV พาคนดูลุยเล่นแต่ตัวชนะดราฟ ไม่ยอมให้คนดูแพ้,MYRMIE,Gaming,11958.0,0
ekuYn4c48No,test,1,0.10655976553665106,BANK PREETI & BLACK PIRANYA The Audacity! Concert「FULL เต็มโชว์」,Genierock,Music,428530.0,0
Iq6UZkFHJro,test,1,0.1098823478632664,มาผิดหมู่บ้าน @nontakanns7-0 @oDoubleKo @JAIRAW @ลุงลิ้น-LoongLync  | Feign,LowGrade,Gaming,412853.0,0
_4P4Wogt0ig,test,1,0.10997888887913987,ลองตายดูมั้ยสนุกดีนะ  • คุณแบงค์ อาสา | 30 พ.ย. 68 | THE GHOST RADIO,TheghostradioOfficial,Entertainment,204910.0,0
_QORfltBmyQ,test,1,0.11465216143131421,เมื่อปีเก่าจากไป…เลขเดียวที่ต้องอยู่ต่อ กลับเจ็บที่สุด,PANDA STORY,Gaming,2515606.0,0
epfLEcTtOKE,test,1,0.1199898526533326,แข่ง ROV อยู่ทีมกิตงาย ชื่อทีม ZEN vs LEGEND  Born for MVPs League,MYRMIE,Gaming,11540.0,0
gJzP7rCGRlA,test,1,0.12320150683883532,ดีใจที่ไม่ต้องรอเธอทุกวัน 🫂 #BUS_ดีใจที่ไม่มีเธอ_MV #BUS_ดีใจที่ไม่มีเธอ #BUSbecauseofyouishine,TADA LABELS,Music,9917.0,0
HQr1aCClIos,test,1,0.12422803395168938,พนักงานญี่ปุ่นพับของขวัญเร็วเกินมนุษย์!,PANDA STORY,Gaming,14090304.0,0
fIIBKP01bYM,test,1,0.12506262217251982,PUBG GLOBAL CHAMPIONSHIP 2025 (28 พ.ย. – 14 ธ.ค.),PUBG: BATTLEGROUNDS THAILAND,Gaming,2501031.0,0
3lG5uZrvO24,test,1,0.12735053055507703,อยากกินข้าวมันไก่  • คุณเกด | 6 ธ.ค. 68 | THE GHOST RADIO,TheghostradioOfficial,Entertainment,74322.0,0
dN2A2PP2_rs,test,1,0.1303431560640894,ใจเรายังตรงกันอยู่ไหม - Bank Preeti จาก #genieSeason Medley เพลงร็อก G27,Genierock,Music,942698.0,0
BSO_oSnOAB8,test,1,0.1304662122970928,รีวิวห้องใหม่OPZTV ฉลองสิ้นปี!!,OPZ TV,Gaming,345275.0,0
flG8xLQ_B9s,test,1,0.13087879045820675,FC Mobile | ผมทำทีม OVR 123 เยอะที่สุดในเกมส์ !!,Laem Sing - แหลมสิงค์,Gaming,130017.0,0
8gX_eOalQkQ,test,1,0.13168617709516894,THE OFF CIRCLE EP.2 | วงสุดท้าย PGC 2025 Grand Finals,PUBG: BATTLEGROUNDS THAILAND,Gaming,42760.0,0
QlM11Kc__ks,test,1,0.13436001199578315,🔴[AIC 2025] Watch Party Knockout Stage DAY 4 [ PSG vs ONE ],KSSA,Gaming,8176.0,0
IH0iOwekj2E,test,1,0.13543572417084512,ชิงแชมป์ RoV นานาชาติ Full Sense vs Flash Wolves | งานออฟไลน์ RoV นานาชาติ AIC 2025🏆 รอบชิงชนะเลิศ,Garena RoV Thailand,Gaming,2257367.0,0
TNuEpHm6QqQ,test,1,0.13598229034001624,💛 4 ผู้เล่นในดวงใจของ MiTH_Scappy จะมีใครบ้าง ไปดูกัน !?| 𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓🏆,PUBG: BATTLEGROUNDS THAILAND,Gaming,21791.0,0
evB7hd0WzOw,test,1,0.14079847520204447,วัดความรู้เรื่องเกาหลีก่อนบินของทีม FW ESPORTS ใครตอบจะตอบได้บ้าง ! 🤣✈️🇰🇷,PUBG: BATTLEGROUNDS THAILAND,Gaming,7103.0,0
fVBHTEW0A0w,test,1,0.1422495427343735,FC Mobile | ผมทำทีม OVR 122 สัปดาห์แรก ตึงๆ !!,Laem Sing - แหลมสิงค์,Gaming,154532.0,0
SYn2e5LBTUY,test,1,0.14807583714626593,Rov+efootball ใครยังไม่คอน ผมจะบอกทริคทุกวัน ต่อด้วย efootball,MYRMIE,Gaming,10827.0,0
