video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
u1mQiV6ubUw,test,1,0.18934009573424154,ก็จากรอยยิ้มที่คุ้นเคย มาในวันนี้ช่างเฉยเมย #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,9894.0,0
VobyYFegQRk,test,1,0.21467811843292353,ก็จากรอยยิ้มที่คุ้นเคย มาในวันนี้ช่างเฉยเมย #BUSDICELIVESESSION #BUSbecauseofyouishine #DICE_SONRAY,TADA LABELS,Music,16286.0,0
sTpCVH1c8_E,test,1,0.21772905127573897,เงาใครกันนะ ทายถูกมั้ย,zbing z.,Gaming,7126780.0,0
HQr1aCClIos,test,1,0.21780469928980015,พนักงานญี่ปุ่นพับของขวัญเร็วเกินมนุษย์!,PANDA STORY,Gaming,14090304.0,0
PT2-km-1Dzo,test,1,0.22386700794891307,ROV กลับมาทำฟอร์มไป 100 ดาว จริงจัง,MYRMIE,Gaming,11166.0,0
zFCvdwRhNRY,test,1,0.22706592645545984,รถไฟเหาะนินจากาแฟ 🚂 Roblox My Brainrot Roller Coaster,CKKID,Gaming,66216.0,0
gJzP7rCGRlA,test,1,0.2279608219674184,ดีใจที่ไม่ต้องรอเธอทุกวัน 🫂 #BUS_ดีใจที่ไม่มีเธอ_MV #BUS_ดีใจที่ไม่มีเธอ #BUSbecauseofyouishine,TADA LABELS,Music,9917.0,0
7ADIa5D1DAw,test,1,0.2437072186955818,FS_Flash ดับเฮี้ยน! 😂 ลบล้างคำสาปสำเร็จใน 𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓 🏆 | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,61465.0,0
8xcJI5f_AbU,test,1,0.24452127032319468,ฉันยืนอยู่ตรงที่เก่า🥀 #Mirrr #กำแพงหัวใจ #MirrrDAYDREAMINGTHE1STCONCERT #Whattheduckmusic,Whattheduck,Music,21876.0,0
cqU30H310Uk,test,1,0.24698833900910303,ปรับสมดุลฮีโร่ 4 ธันวาคม,Garena RoV Thailand,Gaming,20382.0,0
_QORfltBmyQ,test,1,0.2484106248599937,เมื่อปีเก่าจากไป…เลขเดียวที่ต้องอยู่ต่อ กลับเจ็บที่สุด,PANDA STORY,Gaming,2515606.0,0
e_RU7RYdMDo,test,1,0.25445887021352487,เเมวข่อย...บ้าเลือด !!! (EP10) เมื่อเเมวข่อยอยู่ในเกมอื่น  | Newtons Playground VR,A JECT PRo,Gaming,388645.0,0
zF9Bnh4vXh0,test,1,0.25824791433296074,ต่างชาติชมคนไทย [พากย์ไทย] {ต้นฉบับTikTok@joelsoffgrid } #Thailand #ต่างชาติพูดถึงคนไทย #คนไทยใจดี,bas za studio,Gaming,3197766.0,0
f131jiMFZPc,test,1,0.2584095121359759,Roblox : BloxLife 👴 วัฏจักรชีวิตของนายมาตลอด !!!,Kutcha Wants2playz,Gaming,104587.0,0
cU85Ux3ngU0,test,1,0.2624999006140653,ROV พร้อมพาคนดูไปแรงค์ซูก่อนปีใหม่ พาดราฟตัว,MYRMIE,Gaming,8600.0,0
iV4AMR9N9Ww,test,1,0.2696467160509999,Free Fire : พาเอฟซีลุยแรงค์ จะไหวไหม ? | แรงค์แกง Vs มาสเตอร์ !!,CGGG DETBUU,Gaming,86246.0,0
3Ku40zBIX9M,test,1,0.273399708399357,ก็อตซิลล่า  เมืองไทย -   เพ้นท์ คอนเน่ TIG [ Official MV ],TIG Record,Music,4776201.0,0
Xgb_mlP1zL8,test,1,0.2937887483383208,𝐏𝐆𝐂 𝟐𝟎𝟐𝟓 |🐇แมตช์สุดท้ายของ eArena ก่อนคว้าตั๋วเข้าสู่รอบ 𝘎𝘳𝘢𝘯𝘥 𝘍𝘪𝘯𝘢𝘭𝘴 | PUBG,PUBG: BATTLEGROUNDS THAILAND,Gaming,968536.0,0
xRGIpiNLxyw,test,1,0.29645344013445496,Roblox : CENTAURA 🎖️ เกมยิง แนวสงครามโลกที่สมจริงที่สุดตอนนี้ !!!,Kutcha Wants2playz,Gaming,140674.0,0
6MB41CohzEQ,test,1,0.2967048228256569,5 ไลฟ์สไตล์ที่บอกเลยว่า…นี่แหละ T5_Excrozit😎 | 𝐏𝐔𝐁𝐆 𝐆𝐋𝐎𝐁𝐀𝐋 𝐂𝐇𝐀𝐌𝐏𝐈𝐎𝐍𝐒𝐇𝐈𝐏 𝟐𝟎𝟐𝟓🏆,PUBG: BATTLEGROUNDS THAILAND,Gaming,8273.0,0
VLZqWCBoyW0,test,1,0.30310319082714904,Rov+efootball ผม พาดราฟตัวให้ชนะตั้งแต่ยังไม่เล่น สำหรับโซโล่,MYRMIE,Gaming,10739.0,0
Ufy_KbMyuRk,test,1,0.30429778619170184,เรียกชื่อผิดมานาน…ถึงเวลาฟังจากตัวจริง⚡️ 𝐏𝐥𝐚𝐲𝐞𝐫 𝐍𝐚𝐦𝐞 𝐏𝐫𝐨𝐧𝐮𝐧𝐜𝐢𝐚𝐭𝐢𝐨𝐧𝐬 𝐄𝐏.𝟑,PUBG: BATTLEGROUNDS THAILAND,Gaming,5240.0,0
DbLjxVFhzSo,test,1,0.3052757261050074,เรียกชื่อผิดมานาน…ถึงเวลาฟังจากตัวจริง⚡️ 𝐏𝐥𝐚𝐲𝐞𝐫 𝐍𝐚𝐦𝐞 𝐏𝐫𝐨𝐧𝐮𝐧𝐜𝐢𝐚𝐭𝐢𝐨𝐧𝐬 𝐄𝐏.𝟏,PUBG: BATTLEGROUNDS THAILAND,Gaming,8905.0,0
