video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
gwIFk-hVHzg,test,0,0.979963656726607,แกล้งกวางตอนบาดเจ็บ Roblox #Shorts #Roblox,Thanks For Watching,Gaming,396790.0,1
eIV5ec-H_1M,test,0,0.9652359295959426,ข้ามสะพานที่อันตรายที่สุด Roblox #Shorts #Roblox,Thanks For Watching,Gaming,524303.0,1
yzYwy-foAlk,test,0,0.9453615276303422,ใครใจดีบ้าง #roblox,ONAMO ㅤ,Gaming,43579.0,1
7YY2PxEWbdM,test,0,0.9342769477522817,ไว้ใจเกินไป #roblox,ONAMO ㅤ,Gaming,353856.0,1
xCJjg6mSuWY,test,0,0.9284156788188317,ธันเอาคืนมา #roblox,ONAMO ㅤ,Gaming,974671.0,1
QQyMmtgAVtg,test,0,0.9270415680262754,เศร้าวะคนดู #roblox,ONAMO ㅤ,Gaming,101348.0,1
KujCWu98AlU,test,0,0.9218973049788031,ใครจะกินทัน พ่อค้าปอกผลไม้เร็วเกิน พี่หอยกินจุได้กำเนิดขึ้นบนเวทีนี้แล้ว,Superjeew Official,Entertainment,39631.0,1
TgWaeFhFCOw,test,0,0.9201521813872027,คุ้มไหมเอาจริงๆ #roblox,ONAMO ㅤ,Gaming,40373.0,1
OLgM41Io-Dg,test,0,0.9138690082984803,เมื่อผมขอค่าขนมที่บ้าน 🥀 #kutcha #memes #shorts,Kutcha Wants2playz,Gaming,735218.0,1
HoYhMa465bk,test,0,0.9094209858167457,เมื่อพี่ดำที่เป็นลูกหาบต้องมาหาบทีมงาน ทำลายสถิติเก่าเดิม แต่พอทีมงานเดินขึ้นมาถึงกับอึ้ง,Superjeew Official,Entertainment,61762.0,1
_MvIyvOgkIA,test,0,0.9088793965405118,เเมว og ที่เเพงที่สุดในโลก #roblox,ONAMO ㅤ,Gaming,985464.0,1
GAnKnpKDHr0,test,0,0.9011989409633421,ฮิตกันสุดๆวันนี่ลองทำซุปผักลาว!!! โคตรอร่อย,zbing z.,Gaming,450111.0,1
e1e8uby1q10,test,0,0.9007263540894218,ติดอะไรอ่าา #roblox,ONAMO ㅤ,Gaming,439576.0,1
1aXNKfT52wU,test,0,0.8966145240596333,ยืมตัวแปปตึงนะ #roblox,ONAMO ㅤ,Gaming,687176.0,1
mBsJsFgxVGY,test,0,0.8935922283859812,เมื่อมีลูกค้าตัวสูงหน้าตาแปลก! มาซื้อไอติม🍦แมพ icecream horror #avagame #roblox,AVA GAME,Gaming,168895.0,1
8J1VRV8LzB0,test,0,0.8867629011070663,พี่แค่่ขอดูแปปปเดี๋ยวเอง #roblox,ONAMO ㅤ,Gaming,210215.0,1
sp3rosJEMCw,test,0,0.8842501789581343,อ่าวเกมพลิก #roblox,ONAMO ㅤ,Gaming,164001.0,1
S8ZvSwqHgfQ,test,0,0.8838710120809813,กวางได้รับบาดเจ็บ 😭 #99nightintheforest #kutcha #shorts,Kutcha Wants2playz,Gaming,207564.0,1
thEvezQvDvM,test,0,0.882871676744307,พี่ป๋องมีอาการเหงื่อออก มือสั่น เมื่อติดอยู่ในตู้กับสิ่งนี้…,Superjeew Official,Entertainment,553690.0,1
t-e4RNWaVbw,test,0,0.8824543179380103,มังกรฟ้าแก้้มังกรไฟ #roblox,ONAMO ㅤ,Gaming,245182.0,1
FC33nGTVteM,test,0,0.8750639510614582,Wall Friction 🧲 #kutcha #shorts #memes,Kutcha Wants2playz,Gaming,127693.0,1
U1vNjDcWogE,test,0,0.8734190889833799,ร้กสาวเสื้อลาย 💚,คณะเอวีรูม OFFICIAL,Music,37951.0,1
qHOr7BaQRS0,test,0,0.8617343697831376,Sanrio characters อวยพรปีใหม่ให้ทุกคนอย่างมีความสุข,Garena RoV Thailand,Gaming,1667.0,1
RzH46eNU3V8,test,0,0.85997191924275,โยนไข่ไก่ข้ามคาน 2 เมตร แต่ไข่กลับไม่แตก !!  เรามีวิธีทำให้ไข่ไก่ไม่แตก แค่ทำสิ่งนี้,Superjeew Official,Entertainment,75547.0,1
JYjjjHs9xOc,test,0,0.8583957393654078,[Dota2] หลังจบ TI ไม่มี update อะไรดีๆเลย pro ว่าไงบ้าง?,LightFuryLF,Gaming,16705.0,1
QqKuICxagCw,test,0,0.8565151323935497,ครั้งนี่เชียร์ใครคอมเม้นเลย! พี่โม่ ปะทะ จุ๊บแจง,zbing z.,Gaming,750879.0,1
5SENucMErRE,test,0,0.8555092481058328,ใครจำเกมนี้ได้บ้าง วันนี้แป้งเดินไปเจอตู้คีบตุ๊กตาเจ้าม่วง มาดูว่าจะได้มั้ย,zbing z.,Gaming,1681682.0,1
p2CI34kKewk,test,0,0.8549539798317455,กล่องดินสอใส่พลาสเตอร์!! Tin Box แถมแก้วฟรีด้วย น่ารักสุดๆ มีโปรแค่ใน 7-11 นะ! #SOSPlus,Jubjang Ch.,Entertainment,59682.0,1
LdrAc7Se-5U,test,0,0.8546089186165039,หยอกๆ #roblox,ONAMO ㅤ,Gaming,57439.0,1
XqGNh6ku5Ts,test,0,0.8541409949667585,พลาดจนได้ #roblox,ONAMO ㅤ,Gaming,287163.0,1
u9foZSCz2Os,test,0,0.8513119840747662,จบแบบดับฝัน #mightymax #memes #คลิปตลก,Mighty Max,Gaming,42418.0,1
S5fyiLjcls4,test,0,0.8511007049716796,เครื่องทำไอติมรูปโปเกบอล โคตรเท่แถมทำไอติมอร่อยด้วยนะ,zbing z.,Gaming,629469.0,1
I6gcJAqcCdk,test,0,0.8510975564618292,อัดกลองสด New Age SCR 1.0,Bay Riffer,Music,35555.0,1
Qv3lzWsJdqg,test,0,0.8508954088001152,วางระเบิดใส่ขนมเพื่อน พี่กิตกีบพี่ป๊อปใครจะชนะ,zbing z.,Gaming,1781410.0,1
luYJQKl7s2A,test,0,0.850827416777234,Order 67  ⁶🤷‍♂️⁷ #kutcha #shorts #potemer,Kutcha Wants2playz,Gaming,500949.0,1
21s7BIQfsv4,test,0,0.8491441400702785,ใครไม่อึ้งแต่กรรมการอึ้ง เป้าจิ๋วแต่ยิงแม่นไม่มีพลาด,Superjeew Official,Entertainment,96026.0,1
yX_-dT12iiE,test,0,0.8450066375022531,10 ไอติมญี่ปุ่นอันไหนอร่อยสุด,zbing z.,Gaming,496945.0,1
SDT1RlhwKps,test,0,0.8420719925853101,VLOG : ไปเยี่ยม กายหงิด น้องรัก,PRIMKUNG,Entertainment,1025969.0,1
afRhu2qRLds,test,0,0.8420661123334762,ขนมรสไก่ทอดkfcอร่อยมั้ยมาดู!!,zbing z.,Gaming,550330.0,1
_PisBs5zlM0,test,0,0.838443075433415,เสี่ยงดวงเลือกสีให้ถูกห้ามโดนต่อย!!!,zbing z.,Gaming,504160.0,1
zLOolrQczME,test,0,0.837457038602101,เอาสุด!! รวมช็อตสุดฮาของเหล่านักพากย์🎙️😂 ในการแข่งขัน RoV นานาชาติ #AIC2025 #RoV #Shorts,Garena RoV Thailand,Gaming,67219.0,1
Y-i8zc-rgcY,test,0,0.8361015202449849,รีวิวของเล่น Fisch Roblox,zbing z.,Gaming,512484.0,1
QD9tydXHlfA,test,0,0.8359798944765342,ถ้า 99 คืนในป่าภาพสวยขึ้น! #กบเลี่ยนหลาม #roblox #เกม #99nightintheforest #99คืนในป่า,SUNFESOVERLOAD,Gaming,75926.0,1
rudawb03gCA,test,0,0.8351030301430978,เรียงแก้วตามสียากมาก ใครจะชนะมาลุ้นกัน,zbing z.,Gaming,341448.0,1
V74_th3fcJw,test,0,0.8344553189178675,มังกรเขียวตัวเดียวในไทย #roblox,ONAMO ㅤ,Gaming,82913.0,1
ojFsZ4Rnq7Y,test,0,0.8329373606983482,ชุดพี่เอก ต้องใช้กี่เพชรนะ ?,CGGG DETBUU,Gaming,24436.0,1
N2QGE_OyDHQ,test,0,0.8321464846225781,"เปิดแพ็คใหม่ไปสู้ D1ที่มาท้า 1-1 กลางไลฟ์ ชนะได้ 1,000 แพ้ลบนักเตะ คลิปนี้มีดราม่า | eFootball",MYRMIE,Gaming,74297.0,1
qrniuF8JdDg,test,0,0.8289807638754083,Pvp มังกร #roblox,ONAMO ㅤ,Gaming,87063.0,1
nCJd7lb8EAg,test,0,0.8274407829511441,เมื่อเขาเจอพ่อค้าขายตุ๊กตาที่กำลังยอมแพ้จึงทำอะไรบางอย่าง 😊,Blend Buzz,Entertainment,381874.0,1
D_VnOOr9KkI,test,0,0.8267838450326834,ให้กูทำไม  • คุณเต้ย ซีพิ | 27 ธ.ค. 68 | THE GHOST RADIO,TheghostradioOfficial,Entertainment,1151619.0,1
