video_id,split,y_true,y_proba,title,channel_title,category_title,view_count,predicted
gwIFk-hVHzg,test,0,0.4219686979686799,แกล้งกวางตอนบาดเจ็บ Roblox #Shorts #Roblox,Thanks For Watching,Gaming,396790.0,1
eIV5ec-H_1M,test,0,0.4070022282605674,ข้ามสะพานที่อันตรายที่สุด Roblox #Shorts #Roblox,Thanks For Watching,Gaming,524303.0,1
yzYwy-foAlk,test,0,0.37947016982564075,ใครใจดีบ้าง #roblox,ONAMO ㅤ,Gaming,43579.0,1
7YY2PxEWbdM,test,0,0.36650540469144943,ไว้ใจเกินไป #roblox,ONAMO ㅤ,Gaming,353856.0,1
OLgM41Io-Dg,test,0,0.36354343157706975,เมื่อผมขอค่าขนมที่บ้าน 🥀 #kutcha #memes #shorts,Kutcha Wants2playz,Gaming,735218.0,1
xCJjg6mSuWY,test,0,0.36284581975611885,ธันเอาคืนมา #roblox,ONAMO ㅤ,Gaming,974671.0,1
TgWaeFhFCOw,test,0,0.361179371667023,คุ้มไหมเอาจริงๆ #roblox,ONAMO ㅤ,Gaming,40373.0,1
QQyMmtgAVtg,test,0,0.35909795328580296,เศร้าวะคนดู #roblox,ONAMO ㅤ,Gaming,101348.0,1
KujCWu98AlU,test,0,0.35723232891035966,ใครจะกินทัน พ่อค้าปอกผลไม้เร็วเกิน พี่หอยกินจุได้กำเนิดขึ้นบนเวทีนี้แล้ว,Superjeew Official,Entertainment,39631.0,1
HoYhMa465bk,test,0,0.3470060744922075,เมื่อพี่ดำที่เป็นลูกหาบต้องมาหาบทีมงาน ทำลายสถิติเก่าเดิม แต่พอทีมงานเดินขึ้นมาถึงกับอึ้ง,Superjeew Official,Entertainment,61762.0,1
S8ZvSwqHgfQ,test,0,0.3444270386718972,กวางได้รับบาดเจ็บ 😭 #99nightintheforest #kutcha #shorts,Kutcha Wants2playz,Gaming,207564.0,1
1aXNKfT52wU,test,0,0.3443176728501709,ยืมตัวแปปตึงนะ #roblox,ONAMO ㅤ,Gaming,687176.0,1
GAnKnpKDHr0,test,0,0.34045049968656815,ฮิตกันสุดๆวันนี่ลองทำซุปผักลาว!!! โคตรอร่อย,zbing z.,Gaming,450111.0,1
e1e8uby1q10,test,0,0.33670988242958216,ติดอะไรอ่าา #roblox,ONAMO ㅤ,Gaming,439576.0,1
