model_a,model_b,n_a_right_b_wrong,n_a_wrong_b_right,stat,p_value
baselines/lightgbm_structured,baselines/lightgbm_structured_plus_tfidf,184,213,1.9748110831234258,0.15993811729937224
baselines/lightgbm_structured,baselines/lightgbm_tfidf,1629,250,1010.5822245875465,8.99670999018497e-222
baselines/lightgbm_structured,baselines/logistic_regression_structured,172,442,117.85179153094462,1.8684031419670394e-27
baselines/lightgbm_structured,baselines/logistic_regression_structured_plus_tfidf,229,420,55.62403697996918,8.774415769907449e-14
baselines/lightgbm_structured,baselines/logistic_regression_tfidf,1252,275,623.8218729535037,1.1028534088847355e-137
baselines/lightgbm_structured,baselines/xgboost_structured,118,205,22.897832817337463,1.7084436749133154e-06
baselines/lightgbm_structured,baselines/xgboost_structured_plus_tfidf,335,242,14.668977469670711,0.0001281379924684604
baselines/lightgbm_structured,baselines/xgboost_tfidf,1299,255,700.0315315315315,2.9433873325102996e-154
baselines/lightgbm_structured,hybrid/hybrid_gbm,88,463,253.85843920145192,3.7436078457891686e-57
baselines/lightgbm_structured,hybrid/hybrid_mlp,357,338,0.46618705035971225,0.49474655339569695
baselines/lightgbm_structured,transformers/wangchanberta,1022,318,368.8126865671642,3.3939868032692563e-82
baselines/lightgbm_structured_plus_tfidf,baselines/lightgbm_tfidf,1597,189,1108.426091825308,4.869990573899092e-243
baselines/lightgbm_structured_plus_tfidf,baselines/logistic_regression_structured,160,401,102.67379679144385,3.951364305823756e-24
baselines/lightgbm_structured_plus_tfidf,baselines/logistic_regression_structured_plus_tfidf,210,372,44.53780068728523,2.494932703183343e-11
baselines/lightgbm_structured_plus_tfidf,baselines/logistic_regression_tfidf,1208,202,716.3297872340426,8.408963568408992e-158
baselines/lightgbm_structured_plus_tfidf,baselines/xgboost_structured,158,216,8.68716577540107,0.003204585545629257
baselines/lightgbm_structured_plus_tfidf,baselines/xgboost_structured_plus_tfidf,272,150,34.69431279620853,3.857568909516559e-09
baselines/lightgbm_structured_plus_tfidf,baselines/xgboost_tfidf,1253,180,801.9427773900907,2.0401729494903868e-176
baselines/lightgbm_structured_plus_tfidf,hybrid/hybrid_gbm,81,427,234.3011811023622,6.87643899354867e-53
baselines/lightgbm_structured_plus_tfidf,hybrid/hybrid_mlp,331,283,3.5977198697068404,0.057858876895157375
baselines/lightgbm_structured_plus_tfidf,transformers/wangchanberta,1032,299,402.572501878287,1.5168329801216277e-89
baselines/lightgbm_tfidf,baselines/logistic_regression_structured,238,1887,1278.0724705882353,6.582827196278383e-280
baselines/lightgbm_tfidf,baselines/logistic_regression_structured_plus_tfidf,221,1791,1223.5392644135188,4.6730606293269496e-268
