removed,n_models,roc_auc,ci_lo,ci_hi,delta
baselines/lightgbm_structured_plus_tfidf,13,0.6865544667699571,0.6571549778522322,0.7128265977186197,-0.00468051623579413
transformers/phayathaibert,13,0.6871263496029267,0.658424435180601,0.71170125434715,-0.004108633402824524
baselines/logistic_regression_structured_plus_tfidf,13,0.6882559195957072,0.6601245979088498,0.7139886178441406,-0.0029790634100440583
transformers/wangchanberta,13,0.6885509868020798,0.6595677862140717,0.7144787118139798,-0.002683996203671435
baselines/lightgbm_structured,13,0.6887101811367896,0.6583742636204715,0.7124755552879328,-0.002524801868961646
hybrid/hybrid_mlp,13,0.6887973831290508,0.6607540213758939,0.7130912917004237,-0.002437599876700447
baselines/logistic_regression_tfidf,13,0.6910240758616774,0.6614795104539183,0.7157104490286282,-0.00021090714407390188
baselines/logistic_regression_structured,13,0.6910646349278455,0.6617084480235603,0.7157342263243066,-0.00017034807790572426
baselines/xgboost_structured,13,0.6911457530601816,0.6614797487746932,0.7160537246379796,-8.92299455697021e-05
hybrid/hybrid_gbm,13,0.691173130429845,0.6616845155556308,0.7156788849581904,-6.1852575906296e-05
transformers/xlm-roberta-large,13,0.6912015217761627,0.6617505438410929,0.7156997090013547,-3.3461229588582775e-05
(none),14,0.6912349830057513,0.6623633750955784,0.7171986318024197,0.0
baselines/lightgbm_tfidf,13,0.6913597021342179,0.6620719397980664,0.7158914892914715,0.0001247191284666771
baselines/xgboost_tfidf,13,0.6928025909131468,0.6628872086217688,0.7181039118280641,0.0015676079073955185
baselines/xgboost_structured_plus_tfidf,13,0.6932031116915565,0.6631121453335437,0.7206439009171288,0.001968128685805204
